x,y
50,2
51,3
52,4
53,5
54,6
55,7
56,8
57,9
58,10
59,11
60,12
61,13
62,14
63,15
64,16
65,17
66,18
67,19
68,20
69,21
70,22
71,23
72,24
74,25
76,26
77,27
79,28
81,29
82,30
83,31
85,32
86,33
87,34
88,35
90,36
91,37
93,38
96,39
98,40
101,41
103,42
104,43
109,44
110,45
111,46
112,47
113,48
114,49
115,50
116,51
121,52
122,53
123,54
124,55
126,56
127,57
129,58
130,59
131,60
134,61
135,62
136,63
137,64
139,65
140,66
143,67
144,68
146,69
147,70
149,71
150,72
151,73
152,74
161,75
164,76
168,77
170,78
173,79
176,80
178,81
180,82
182,83
184,84
185,85
186,86
187,87
196,88
201,89
202,90
204,91
208,92
210,93
214,94
215,95
217,96
218,97
219,98
226,99
227,100
228,101
232,102
233,103
234,104
235,105
239,106
241,107
245,108
247,109
248,110
251,111
254,112
259,113
260,114
261,115
262,116
267,117
270,118
272,119
276,120
277,121
278,122
280,123
285,124
287,125
289,126
290,127
291,128
293,129
299,130
305,131
306,132
307,133
310,134
315,135
318,136
321,137
323,138
324,139
328,140
332,141
336,142
340,143
341,144
343,145
347,146
358,147
361,148
363,149
366,150
367,151
374,152
376,153
379,154
380,155
381,156
383,157
384,158
385,159
386,160
394,161
395,162
401,163
404,164
408,165
410,166
412,167
416,168
417,169
420,170
424,171
430,172
433,173
436,174
437,175
439,176
449,177
452,178
457,179
459,180
460,181
463,182
465,183
466,184
469,185
472,186
473,187
474,188
479,189
481,190
484,191
486,192
487,193
491,194
494,195
497,196
501,197
514,198
516,199
518,200
520,201
527,202
538,203
541,204
543,205
545,206
546,207
547,208
548,209
552,210
553,211
555,212
558,213
563,214
567,215
574,216
578,217
583,218
584,219
586,220
587,221
588,222
590,223
601,224
602,225
603,226
604,227
606,228
609,229
610,230
612,231
613,232
614,233
615,234
619,235
620,236
621,237
622,238
624,239
627,240
630,241
631,242
633,243
634,244
637,245
642,246
648,247
649,248
651,249
657,250
661,251
662,252
664,253
666,254
667,255
669,256
672,257
678,258
679,259
682,260
683,261
684,262
690,263
694,264
697,265
701,266
706,267
708,268
709,269
710,270
712,271
716,272
719,273
722,274
724,275
726,276
727,277
728,278
730,279
731,280
735,281
736,282
740,283
744,284
747,285
753,286
754,287
759,288
774,289
776,290
778,291
780,292
782,293
791,294
792,295
802,296
803,297
808,298
809,299
813,300
814,301
817,302
821,303
829,304
830,305
832,306
838,307
839,308
840,309
842,310
844,311
846,312
848,313
856,314
857,315
858,316
861,317
865,318
870,319
876,320
877,321
878,322
880,323
881,324
884,325
886,326
888,327
889,328
895,329
903,330
906,331
909,332
910,333
911,334
915,335
916,336
926,337
927,338
930,339
936,340
938,341
939,342
944,343
946,344
947,345
949,346
951,347
953,348
955,349
957,350
961,351
963,352
965,353
966,354
967,355
970,356
971,357
976,358
978,359
981,360
985,361
987,362
991,363
994,364
999,365
1000,366
1001,367
1003,368
1004,369
1005,370
1009,371
1010,372
1012,373
1017,374
1021,375
1025,376
1029,377
1031,378
1037,379
1038,380
1040,381
1041,382
1043,383
1050,384
1053,385
1055,386
1062,387
1064,388
1065,389
1069,390
1071,391
1078,392
1082,393
1083,394
1088,395
1092,396
1094,397
1096,398
1097,399
1102,400
1114,401
1117,402
1120,403
1121,404
1122,405
1125,406
1133,407
1145,408
1150,409
1151,410
1153,411
1156,412
1157,413
1159,414
1162,415
1166,416
1167,417
1169,418
1172,419
1175,420
1176,421
1178,422
1181,423
1182,424
1184,425
1188,426
1189,427
1191,428
1198,429
1200,430
1201,431
1203,432
1208,433
1210,434
1212,435
1219,436
1222,437
1223,438
1224,439
1226,440
1227,441
1232,442
1236,443
1241,444
1245,445
1249,446
1252,447
1253,448
1258,449
1259,450
1269,451
1271,452
1278,453
1279,454
1281,455
1282,456
1286,457
1289,458
1294,459
1296,460
1300,461
1302,462
1303,463
1304,464
1310,465
1311,466
1315,467
1321,468
1324,469
1332,470
1337,471
1341,472
1342,473
1344,474
1351,475
1356,476
1360,477
1366,478
1368,479
1374,480
1378,481
1380,482
1386,483
1388,484
1393,485
1401,486
1404,487
1412,488
1416,489
1418,490
1419,491
1421,492
1427,493
1431,494
1434,495
1436,496
1442,497
1443,498
1451,499
1456,500
1457,501
1458,502
1463,503
1464,504
1469,505
1470,506
1471,507
1474,508
1476,509
1480,510
1483,511
1488,512
1493,513
1496,514
1497,515
1499,516
1503,517
1504,518
1507,519
1509,520
1510,521
1512,522
1521,523
1527,524
1528,525
1529,526
1531,527
1534,528
1536,529
1538,530
1539,531
1544,532
1553,533
1554,534
1560,535
1563,536
1565,537
1569,538
1578,539
1579,540
1588,541
1594,542
1595,543
1600,544
1602,545
1608,546
1609,547
1614,548
1620,549
1621,550
1625,551
1627,552
1628,553
1629,554
1634,555
1637,556
1639,557
1640,558
1645,559
1646,560
1647,561
1654,562
1658,563
1668,564
1673,565
1675,566
1676,567
1681,568
1684,569
1688,570
1689,571
1694,572
1699,573
1702,574
1706,575
1709,576
1710,577
1716,578
1720,579
1721,580
1722,581
1725,582
1727,583
1729,584
1731,585
1732,586
1736,587
1740,588
1741,589
1743,590
1747,591
1761,592
1762,593
1763,594
1767,595
1772,596
1774,597
1775,598
1777,599
1778,600
1781,601
1785,602
1786,603
1787,604
1791,605
1792,606
1794,607
1797,608
1798,609
1800,610
1801,611
1807,612
1812,613
1813,614
1814,615
1815,616
1816,617
1817,618
1818,619
1822,620
1823,621
1825,622
1826,623
1827,624
1834,625
1836,626
1840,627
1847,628
1848,629
1855,630
1857,631
1862,632
1864,633
1870,634
1872,635
1878,636
1879,637
1880,638
1881,639
1882,640
1887,641
1891,642
1896,643
1901,644
1903,645
1904,646
1914,647
1916,648
1921,649
1923,650
1926,651
1931,652
1934,653
1936,654
1937,655
1941,656
1943,657
1946,658
1948,659
1951,660
1953,661
1954,662
1957,663
1963,664
1964,665
1965,666
1968,667
1970,668
1971,669
1977,670
1979,671
1983,672
1989,673
1991,674
1997,675
2011,676
2015,677
2016,678
2017,679
2018,680
2024,681
2025,682
2031,683
2035,684
2045,685
2047,686
2048,687
2049,688
2052,689
2053,690
2057,691
2059,692
2061,693
2063,694
2064,695
2070,696
2075,697
2076,698
2077,699
2083,700
2085,701
2086,702
2089,703
2092,704
2096,705
2106,706
2110,707
2114,708
2115,709
2118,710
2120,711
2124,712
2128,713
2130,714
2132,715
2133,716
2134,717
2136,718
2137,719
2139,720
2140,721
2141,722
2143,723
2144,724
2145,725
2147,726
2153,727
2157,728
2158,729
2159,730
2160,731
2161,732
2163,733
2165,734
2166,735
2167,736
2168,737
2170,738
2171,739
2173,740
2176,741
2177,742
2178,743
2183,744
2187,745
2190,746
2192,747
2194,748
2197,749
2200,750
2203,751
2205,752
2208,753
2213,754
2215,755
2219,756
2222,757
2223,758
2225,759
2226,760
2234,761
2236,762
2238,763
2240,764
2244,765
2246,766
2254,767
2257,768
2259,769
2264,770
2268,771
2269,772
2271,773
2275,774
2276,775
2279,776
2284,777
2290,778
2291,779
2292,780
2297,781
2300,782
2301,783
2303,784
2304,785
2305,786
2306,787
2307,788
2309,789
2312,790
2313,791
2314,792
2316,793
2320,794
2322,795
2328,796
2334,797
2336,798
2338,799
2341,800
2345,801
2347,802
2349,803
2351,804
2356,805
2358,806
2360,807
2363,808
2365,809
2368,810
2374,811
2378,812
2380,813
2383,814
2386,815
2390,816
2392,817
2399,818
2400,819
2402,820
2404,821
2408,822
2414,823
2418,824
2420,825
2428,826
2429,827
2431,828
2432,829
2435,830
2438,831
2439,832
2440,833
2444,834
2449,835
2452,836
2453,837
2457,838
2458,839
2462,840
2468,841
2470,842
2473,843
2474,844
2475,845
2476,846
2478,847
2479,848
2481,849
2482,850
2484,851
2488,852
2490,853
2491,854
2496,855
2501,856
2503,857
2506,858
2508,859
2510,860
2514,861
2515,862
2516,863
2518,864
2519,865
2521,866
2523,867
2524,868
2527,869
2530,870
2535,871
2537,872
2540,873
2542,874
2543,875
2544,876
2546,877
2549,878
2551,879
2552,880
2562,881
2569,882
2572,883
2574,884
2576,885
2578,886
2579,887
2581,888
2585,889
2588,890
2600,891
2602,892
2605,893
2606,894
2609,895
2611,896
2612,897
2615,898
2616,899
2618,900
2620,901
2621,902
2632,903
2634,904
2635,905
2639,906
2644,907
2645,908
2646,909
2647,910
2648,911
2652,912
2657,913
2659,914
2660,915
2662,916
2667,917
2670,918
2671,919
2673,920
2677,921
2678,922
2679,923
2680,924
2681,925
2684,926
2686,927
2688,928
2689,929
2690,930
2692,931
2694,932
2695,933
2699,934
2700,935
2703,936
2706,937
2707,938
2708,939
2719,940
2722,941
2724,942
2726,943
2729,944
2730,945
2733,946
2737,947
2740,948
2742,949
2743,950
2747,951
2759,952
2764,953
2766,954
2767,955
2768,956
2771,957
2774,958
2777,959
2778,960
2780,961
2781,962
2782,963
2783,964
2785,965
2787,966
2794,967
2795,968
2798,969
2802,970
2805,971
2811,972
2813,973
2817,974
2819,975
2822,976
2824,977
2832,978
2834,979
2837,980
2840,981
2849,982
2857,983
2861,984
2864,985
2866,986
2870,987
2872,988
2874,989
2878,990
2883,991
2887,992
2888,993
2892,994
2895,995
2898,996
2902,997
2914,998
2915,999
2917,1000
2919,1001
2921,1002
2922,1003
2928,1004
2931,1005
2934,1006
2936,1007
2938,1008
2942,1009
2945,1010
2946,1011
2949,1012
2952,1013
2958,1014
2959,1015
2961,1016
2964,1017
2969,1018
2974,1019
2978,1020
2979,1021
2984,1022
2985,1023
2988,1024
2990,1025
2995,1026
2998,1027
3002,1028
3003,1029
3005,1030
3010,1031
3013,1032
3015,1033
3016,1034
3022,1035
3023,1036
3024,1037
3027,1038
3029,1039
3032,1040
3033,1041
3034,1042
3038,1043
3039,1044
3043,1045
3050,1046
3052,1047
3057,1048
3059,1049
3062,1050
3067,1051
3068,1052
3069,1053
3072,1054
3073,1055
3075,1056
3083,1057
3084,1058
3085,1059
3087,1060
3089,1061
3091,1062
3096,1063
3101,1064
3107,1065
3109,1066
3111,1067
3120,1068
3122,1069
3123,1070
3124,1071
3127,1072
3128,1073
3129,1074
3132,1075
3137,1076
3138,1077
3141,1078
3148,1079
3152,1080
3156,1081
3160,1082
3175,1083
3178,1084
3180,1085
3181,1086
3183,1087
3191,1088
3201,1089
3203,1090
3207,1091
3209,1092
3210,1093
3211,1094
3214,1095
3217,1096
3218,1097
3230,1098
3231,1099
3235,1100
3239,1101
3240,1102
3245,1103
3246,1104
3247,1105
3249,1106
3256,1107
3257,1108
3258,1109
3262,1110
3264,1111
3268,1112
3270,1113
3271,1114
3277,1115
3279,1116
3280,1117
3281,1118
3282,1119
3285,1120
3287,1121
3289,1122
3290,1123
3292,1124
3294,1125
3296,1126
3297,1127
3299,1128
3302,1129
3307,1130
3311,1131
3312,1132
3317,1133
3322,1134
3327,1135
3328,1136
3339,1137
3344,1138
3346,1139
3347,1140
3348,1141
3350,1142
3353,1143
3354,1144
3356,1145
3358,1146
3359,1147
3362,1148
3368,1149
3371,1150
3375,1151
3379,1152
3382,1153
3395,1154
3400,1155
3401,1156
3402,1157
3404,1158
3405,1159
3406,1160
3413,1161
3414,1162
3416,1163
3418,1164
3422,1165
3423,1166
3426,1167
3427,1168
3430,1169
3434,1170
3438,1171
3439,1172
3441,1173
3446,1174
3450,1175
3453,1176
3456,1177
3459,1178
3465,1179
3470,1180
3472,1181
3474,1182
3475,1183
3479,1184
3480,1185
3483,1186
3484,1187
3485,1188
3491,1189
3494,1190
3495,1191
3498,1192
3500,1193
3514,1194
3521,1195
3522,1196
3527,1197
3534,1198
3546,1199
3551,1200
3553,1201
3554,1202
3557,1203
3558,1204
3561,1205
3565,1206
3568,1207
3576,1208
3579,1209
3582,1210
3584,1211
3586,1212
3587,1213
3589,1214
3590,1215
3592,1216
3596,1217
3599,1218
3600,1219
3602,1220
3604,1221
3605,1222
3609,1223
3611,1224
3613,1225
3620,1226
3621,1227
3622,1228
3623,1229
3625,1230
3627,1231
3630,1232
3633,1233
3636,1234
3637,1235
3639,1236
3642,1237
3645,1238
3652,1239
3653,1240
3654,1241
3659,1242
3666,1243
3667,1244
3671,1245
3679,1246
3680,1247
3682,1248
3683,1249
3685,1250
3687,1251
3693,1252
3695,1253
3698,1254
3703,1255
3705,1256
3712,1257
3714,1258
3716,1259
3722,1260
3725,1261
3726,1262
3731,1263
3738,1264
3742,1265
3744,1266
3747,1267
3749,1268
3752,1269
3761,1270
3763,1271
3765,1272
3768,1273
3775,1274
3780,1275
3782,1276
3784,1277
3787,1278
3789,1279
3794,1280
3798,1281
3799,1282
3801,1283
3802,1284
3808,1285
3817,1286
3819,1287
3821,1288
3822,1289
3823,1290
3826,1291
3828,1292
3833,1293
3836,1294
3837,1295
3838,1296
3841,1297
3844,1298
3852,1299
3855,1300
3857,1301
3858,1302
3865,1303
3870,1304
3871,1305
3872,1306
3883,1307
3884,1308
3894,1309
3897,1310
3900,1311
3905,1312
3906,1313
3908,1314
3910,1315
3911,1316
3913,1317
